"socname","phylo"
"Nama Hottentot","Nama_Hottentot"
"Kung Bushmen","Kung_Bushmen"
"Thonga","Thonga"
"Lozi","Lozi"
"Mbundu","Mbundu"
"Suku","Suku"
"Bemba","Bemba"
"Nyakyusa","Nyakyusa"
"Hadza","Hadza"
"Luguru","Luguru"
"Kikuyu","Kikuyu"
"Ganda","Ganda"
"Mbuti","Mbuti"
"Nkundo Mongo","Nkundo_Mongo"
"Banen","Banen"
"Tiv","Tiv"
"Ibo","Ibo"
"Fon","Fon"
"Ashanti","Ashanti"
"Mende","Mende"
"Wolof","Wolof"
"Bambara","Bambara"
"Tallensi","Tallensi"
"Songhai","Songhai"
"Pastoral Fulani","Pastoral_Fulani"
"Hausa","Hausa"
"Massa (Masa)","Massa_Masa"
"Azande","Azande"
"Fur (Darfur)","Fur_Darfur"
"Otoro Nuba","Otoro_Nuba"
"Shilluk","Shilluk"
"Mao","Mao"
"Kaffa (Kafa)","MISSING_Kafa_Kaffa"
"Masai","Masai"
"Konso","Konso"
"Somali","Somali"
"Amhara","Amhara"
"Bogo","Bogo"
"Kenuzi Nubians","Kenuzi_Nubians"
"Teda","Teda"
"Tuareg","Tuareg"
"Riffians","Riffians"
"Egyptians","Egyptians"
"Hebrews","Hebrews"
"Babylonians","Babylonians"
"Rwala Bedouin","Rwala_Bedouin"
"Turks","Turks"
"Gheg Albanians","Gheg_Albanians"
"Romans","Romans"
"Basques","Basques"
"Irish","Irish"
"Lapps","Lapps"
"Yurak Samoyed","Yurak_Samoyed"
"Russians","Russians"
"Abkhaz","Abkhaz"
"Armenians","Armenians"
"Kurd","Kurd"
"Basseri","Basseri"
"Punjabi (West)","Punjabi_West"
"Gond","Gond"
"Toda","Toda"
"Santal","Santal"
"Uttar Pradesh","Uttar_Pradesh"
"Burusho","Burusho"
"Kazak","Kazakh"
"Khalka Mongols","Khalka_Mongols"
"Lolo","Lolo"
"Lepcha","Lepcha"
"Garo","Garo"
"Lakher","Lakher"
"Burmese","Burmese"
"Lamet","Lamet"
"Vietnamese","Vietnamese"
"Rhade","Rhade"
"Khmer","Khmer"
"Siamese","Siamese"
"Semang","Semang"
"Nicobarese","Nicobarese"
"Andamanese","Andamanese"
"Vedda","Vedda"
"Tanala","Tanala"
"Negri Sembilan","Negri_Sembilan"
"Javanese","Javanese"
"Balinese","Balinese"
"Iban","Iban"
"Badjau","Badjau"
"Toradja","Toradja"
"Tobelorese","MISSING_Tobelorese"
"Alorese","Alorese"
"Tiwi","Tiwi"
"Aranda","Aranda"
"Orokaiva","Orokaiva"
"Kimam","MISSING_Kimam"
"Kapauku","Kapauku"
"Kwoma","Kwoma"
"Manus","Manus"
"New Ireland","New_Ireland"
"Trobrianders","Trobrianders"
"Siuai","Siuai"
"Tikopia","Tikopia"
"Pentecost","Pentecost"
"Mbau Fijians","Mbau_Fijians"
"Ajie","Ajie"
"Maori","Maori"
"Marquesans","Marquesans"
"Western Samoans","Western_Samoans"
"Gilbertese","Gilbertese"
"Marshallese","Marshallese"
"Trukese","Trukese"
"Yapese","Yapese"
"Palauans","Palauans"
"Ifugao","Ifugao"
"Atayal","Atayal"
"Chinese","Chinese"
"Manchu","Manchu"
"Koreans","Koreans"
"Japanese","Japanese"
"Ainu","Ainu"
"Gilyak","Gilyak"
"Yukaghir","Yukaghir"
"Chukchee","Chukchee"
"Ingalik","Ingalik"
"Aleut","Aleut"
"Copper Eskimo","Copper_Eskimo"
"Montagnais","Montagnais"
"Micmac","Micmac"
"Saulteaux","Saulteaux"
"Slave","Slave"
"Kaska","Kaska"
"Eyak","Eyak"
"Haida","Haida"
"Bellacoola","Bellacoola"
"Twana","Twana"
"Yurok","MISSING_Yurok"
"Pomo (Eastern)","MISSING_Pomo_Eastern"
"Yokuts (Lake)","Yokuts_Lake"
"Paiute (North.)","'Paiute_North.'"
"Klamath","MISSING_Klamath"
"Kutenai","MISSING_Kutenai"
"Gros Ventre","Gros_Ventre"
"Hidatsa","Hidatsa"
"Pawnee","Pawnee"
"Omaha","Omaha"
"Huron","Huron"
"Creek","Creek"
"Natchez","MISSING_Natchez"
"Comanche","Comanche"
"Chiricahua","Chiricahua"
"Zuni","Zuni"
"Havasupai","Havasupai"
"Papago","Papago"
"Huichol","Huichol"
"Aztec","Aztec"
"Popoluca","Popoluca"
"Quiche","Quiche"
"Miskito","Miskito"
"Bribri","Bribri"
"Cuna (Tule)","Cuna_Tule"
"Goajiro","Goajiro"
"Haitians","Haitians"
"Callinago","Callinago"
"Warrau","Warrau"
"Yanomamo","Yanomamo"
"Carib (Barama)","Carib_Barama"
"Saramacca","Saramacca"
"Mundurucu","Mundurucu"
"Cubeo (Tucano)","Cubeo_Tucano"
"Cayapa","Cayapa"
"Jivaro","Jivaro"
"Amahuaca","Amahuaca"
"Inca","Inca"
"Aymara","Aymara"
"Siriono","Siriono"
"Nambicuara","Nambicuara"
"Trumai","Trumai"
"Timbira","MISSING_Timbira"
"Tupinamba","Tupinamba"
"Botocudo","Botocudo"
"Shavante","Shavante"
"Aweikoma","Aweikoma"
"Cayua","Cayua"
"Lengua","Lengua"
"Abipon","Abipon"
"Mapuche","Mapuche"
"Tehuelche","Tehuelche"
"Yahgan","Yahgan"
