Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Variable: Mean value of annual precipitation across the year (mm),Description: Mean value of annual precipitation across the year (mm),Comment: Mean value of annual precipitation across the year (mm),Variable: Mean value of monthly temperature across the year (°C),Description: Mean value of monthly temperature across the year (°C),Comment: Mean value of monthly temperature across the year (°C),Variable: Variance in monthly precipitation means,Description: Variance in monthly precipitation means,Comment: Variance in monthly precipitation means
Ethnographic Atlas,Kagoro,Ah20,xd310,Kagoro (Ah20),Katab,FF38,10,8,10,8,kago1246,Kagoro (Nigeria),,Atlantic-Congo,121622.591,,,23.19933534,,,12809603157,,
Ethnographic Atlas,Kaguru,Ad50,xd121,Kaguru (Ad50),,,-6,37,-6,37,kagu1239,Kagulu,kki,Atlantic-Congo,99675.63239,,,20.30485763,,,5888824305,,
Binford Hunter-Gatherer,Kaiadilt,B103,xd952,Kaiadilt (B103),,,-16.94,139.03,-16.94,139.28,kaya1319,Kayardild,gyd,Tangkic,109316.6834,,,25.82919754,,,22993417303,,
Binford Hunter-Gatherer,Kainai,B259,xd1212,Blood (B259),Blackfoot,NF06,52.79,-113.86,52.79,-113.86,bloo1239,Blood,,Algic,41951.39486,,,2.496059244,,,673260890.3,,
Ethnographic Atlas,Kainai,Ne13,xd1212,Blood (Ne13),Blackfoot,NF06,51,-115,51,-115,bloo1239,Blood,,Algic,61041.18483,,,-0.288960179,,,957477170.8,,
Ethnographic Atlas,Kakoli,Ie11,xd787,Kakoli (Ie11),,,-6,144,-6,144,umbu1258,Umbu-Ungu,ubu,Nuclear Trans New Guinea,349730.5802,,,19.78360219,,,28580874001,,
Ethnographic Atlas,Kakwa,Aj14,xd389,Kakwa (Aj14),,,4,31,4,31,kakw1240,Kakwa,keo,Nilotic,170507.6056,,,21.95145683,,,13692843369,,
Ethnographic Atlas,Umatilla,Nd19,xd1151,Umatilla (Nd19),,,46,-119,46,-119,umat1237,Umatilla,uma,Sahaptian,64391.96119,,,9.333151829,,,2502730379,,
Ethnographic Atlas,Telugu,Eg10,xd673,Telugu (Eg10),Telugu,AW17,18,79,18,79,telu1262,Telugu,tel,Dravidian,108118.2956,,,25.13449491,,,13492736679,,
Binford Hunter-Gatherer,Kalaallit (West Greenland),B385,xd1041,West Greenland (B385),,,69.31,-50.21,69.31,-50.21,west2617,West Greenlandic,,Eskimo-Aleut,41121.21652,,,-10.43411906,,,1093473939,,
Ethnographic Atlas,Kalaallit (West Greenland),Na25,xd1041,Greenlanders (Na25),,,68.66,-51.22,69,-53,west2617,West Greenlandic,,Eskimo-Aleut,32236.72407,,,-10.64720051,,,642262095.2,,
