,socname,phylo,men,women,cultural,polygamy,ordinal,nsp,wives,stress,stress2,fcont1,fcontmean,hunt,fish,gather,hunt2,fish2,gather2,plow,timesub,submode,submode2,mort,density,assfreq,femarr,maggr,intwar,proxi,ineq,strat,temp,lati,hemi,region,clim
1,Nama Hottentot,Nama_Hottentot,5,12,3,3,4,0,1.079545455,8,1,35,4,3,1,1,4,1,3,0,2,6,4,3,1,NA,4,NA,17,3,NA,2,21,27,2,1,2
2,Kung Bushmen,Kung_Bushmen,10,19,3,3,3,0,1.111111111,10,2,60,4,2,0,8,4,1,5,0,NA,1,7,0,1,1,5,NA,1,4,1,1,21,22,2,1,2
3,Thonga,Thonga,40,66,5,4,5,0,1.764705882,11,2,38,5,1,1,0,3,2,2,0,3,8,3,NA,6,NA,3,2,NA,2,NA,3,24,24,2,1,5
4,Lozi,Lozi,40,NA,5,4,5,1,NA,16,2,40,4,2,1,1,3,3,2,0,NA,11,1,NA,4,NA,2,NA,11,2,NA,4,23,15,2,1,5
5,Mbundu,Mbundu,27,45,5,4,5,1,1.327272727,15,2,50,5,1,1,1,3,2,2,0,2,8,3,NA,4,NA,5,2,5,3,NA,4,18,12,2,1,5
6,Suku,Suku,27,41,5,4,5,1,1.237288136,18,3,NA,7,2,1,1,3,2,3,0,NA,8,3,4,4,7,NA,NA,8,3,NA,3,NA,NA,NA,1,5
7,Bemba,Bemba,2,7,3,3,5,0,1.053763441,15,2,63,5,1,1,1,4,3,3,0,2,8,3,NA,3,NA,2,2,17,2,NA,3,21,10,2,1,5
8,Nyakyusa,Nyakyusa,44,70,5,4,5,1,1.866666667,17,3,18,3,1,1,0,3,2,2,0,NA,11,1,0,5,NA,6,NA,1,2,NA,1,18,9,2,1,5
9,Hadza,Hadza,6,12,2,3,4,0,1.068181818,16,2,60,5,4,0,6,4,1,5,0,2,1,8,0,2,NA,NA,2,1,2,1,1,23,NA,1,1,5
10,Luguru,Luguru,NA,NA,3,3,3,0,NA,14,2,NA,4,1,1,0,3,2,2,0,NA,8,3,NA,7,NA,5,NA,1,3,NA,2,26,7,2,1,5
11,Kikuyu,Kikuyu,NA,32,5,4,5,1,NA,19,3,53,5,0,0,0,3,1,NA,0,2,6,1,3,6,7,2,2,1,2,NA,2,17,2,2,1,5
12,Ganda,Ganda,55,80,5,4,5,1,2.25,18,3,53,6,1,1,0,4,3,2,0,NA,9,2,6,6,NA,4,NA,15,1,NA,4,20,1,1,1,5
13,Mbuti,Mbuti,6,12,3,3,3,0,1.068181818,17,3,48,5,7,0,3,4,2,4,0,2,1,7,NA,2,5,2,3,NA,4,1,1,23,2,1,1,3
14,Nkundo Mongo,Nkundo_Mongo,NA,NA,5,4,4,1,NA,18,3,60,7,1,2,1,3,2,2,0,NA,8,3,NA,3,NA,2,NA,11,3,NA,3,25,1,2,1,3
15,Banen,Banen,NA,NA,5,4,5,1,NA,20,3,NA,8,1,0,1,3,2,2,0,3,8,3,NA,4,NA,NA,3,NA,3,NA,2,21,6,1,1,3
16,Tiv,Tiv,20,52,5,4,5,1,1.666666667,17,3,NA,5,2,1,1,3,2,2,0,NA,8,3,NA,5,5,6,NA,17,3,NA,2,27,8,1,1,5
17,Ibo,Ibo,24,46,5,4,5,1,1.407407407,19,3,68,6,0,0,0,1,2,2,0,3,8,3,NA,7,7,NA,NA,12,3,NA,2,27,6,1,1,3
18,Fon,Fon,NA,NA,5,4,4,NA,NA,18,3,48,4,2,1,0,4,1,2,0,NA,8,3,NA,5,NA,4,NA,3,1,NA,4,26,8,1,1,5
19,Ashanti,Ashanti,49,72,5,4,5,1,1.821428571,18,3,35,5,1,2,0,4,2,2,0,NA,8,3,NA,5,NA,4,NA,1,2,NA,3,26,7,1,1,5
20,Mende,Mende,90,97,5,4,5,1,3.333333333,17,3,NA,4,0,1,1,3,2,2,0,NA,8,3,NA,5,NA,4,NA,3,3,NA,4,26,8,1,1,3
21,Wolof,Wolof,39,61,5,4,5,1,1.564102564,19,3,15,2,0,1,0,3,2,2,0,3,8,3,0,6,NA,5,2,1,NA,NA,5,24,15,1,2,5
22,Bambara,Bambara,NA,NA,5,4,4,1,NA,19,3,40,4,0,1,2,3,2,2,0,NA,11,1,NA,4,8,6,NA,NA,NA,NA,4,28,13,1,1,5
23,Tallensi,Tallensi,40,62,5,4,5,1,1.578947368,21,3,33,3,0,0,1,3,2,2,0,2,11,1,0,6,1,4,3,1,3,NA,2,NA,NA,NA,1,5
24,Songhai,Songhai,1,2,2,3,3,0,1.010204082,17,3,NA,2,0,2,0,3,2,2,0,NA,11,1,NA,4,3,6,NA,1,3,NA,5,29,17,1,2,2
25,Pastoral Fulani,Pastoral_Fulani,35,54,5,4,5,1,1.413043478,15,2,NA,5,0,0,0,3,1,2,0,2,6,4,NA,3,6,4,2,7,3,NA,1,26,12,1,2,5
26,Hausa,Hausa,40,59,5,4,5,1,1.463414634,18,3,NA,1,0,0,1,3,2,2,0,NA,11,1,NA,5,NA,6,NA,15,3,NA,5,25,11,1,2,5
27,Massa (Masa),Massa_Masa,NA,NA,5,4,5,1,NA,21,3,45,4,1,3,0,3,3,2,0,1,11,1,NA,5,NA,NA,1,NA,NA,NA,1,29,11,1,1,5
28,Azande,Azande,32,57,5,4,5,1,1.581395349,20,3,60,5,2,1,1,4,2,3,0,NA,8,3,6,3,8,5,NA,17,2,NA,3,25,5,1,1,5
29,Fur (Darfur),Fur_Darfur,NA,NA,3,3,4,0,NA,13,2,53,5,0,1,0,4,3,2,0,2,11,1,NA,4,3,4,2,NA,1,NA,3,27,10,1,2,6
30,Otoro Nuba,Otoro_Nuba,60,77,5,4,5,1,1.739130435,18,3,35,4,2,0,0,3,1,1,0,NA,11,1,NA,4,1,4,NA,13,3,NA,2,27,11,1,1,5
31,Shilluk,Shilluk,23,37,5,4,5,1,1.222222222,16,2,NA,2,1,1,1,4,3,2,0,2,8,3,6,5,8,1,2,11,3,NA,5,27,9,1,1,5
32,Mao,Mao,5,10,4,3,3,NA,1.055555556,15,2,NA,3,1,1,1,4,3,2,0,NA,7,3,NA,4,NA,NA,NA,NA,NA,NA,1,27,8,1,1,5
33,Kaffa (Kafa),MISSING_Kafa_Kaffa,NA,NA,5,4,5,1,NA,19,3,NA,3,1,0,1,3,1,3,1,1,12,1,NA,5,NA,NA,1,NA,2,NA,4,27,8,1,2,6
34,Masai,Masai,41,61,5,4,5,1,1.512820513,16,2,45,5,1,0,0,1,1,2,0,NA,6,4,NA,3,NA,NA,NA,13,1,NA,1,17,1,2,1,5
35,Konso,Konso,10,24,3,3,5,1,1.184210526,12,2,40,4,0,0,0,3,1,1,1,2,12,1,NA,6,NA,2,1,NA,2,NA,2,27,8,1,2,6
36,Somali,Somali,43,65,5,4,5,1,1.628571429,15,2,NA,5,0,0,0,3,1,2,0,NA,6,4,NA,4,9,5,NA,17,2,NA,2,24,8,1,2,2
37,Amhara,Amhara,0,0,1,2,2,0,1,15,2,30,2,0,1,0,3,2,2,1,2,12,1,NA,5,1,5,1,NA,2,NA,5,26,13,1,2,6
38,Bogo,Bogo,NA,NA,3,3,3,NA,NA,15,2,0,0,0,0,0,3,1,2,0,NA,6,4,NA,3,NA,NA,NA,NA,NA,NA,4,21,16,1,2,2
39,Kenuzi Nubians,Kenuzi_Nubians,NA,NA,3,3,4,NA,NA,15,2,15,3,0,1,0,3,2,1,0,1,11,1,NA,NA,NA,NA,NA,NA,1,NA,2,26,24,1,2,2
40,Teda,Teda,10,22,4,3,4,1,1.153846154,10,2,73,5,0,0,2,3,1,2,0,NA,6,1,NA,1,NA,6,NA,NA,3,NA,3,29,18,1,2,2
41,Tuareg,Tuareg,0,0,1,2,2,NA,1,16,2,NA,4,1,0,1,3,1,2,0,2,6,4,2,1,1,2,2,17,NA,NA,4,21,23,1,2,2
42,Riffians,Riffians,11,25,4,3,4,0,1.186666667,10,2,15,2,1,1,0,3,2,3,1,NA,12,1,NA,6,8,2,NA,17,3,NA,2,18,35,1,2,2
43,Egyptians,Egyptians,3,7,2,3,3,0,1.043010753,16,2,23,2,0,1,0,1,2,1,1,1,12,1,NA,7,5,6,1,5,2,NA,5,24,26,1,2,2
